id,cuisine
2131,southern_us
2132,british
2133,italian
2134,greek
2135,filipino
2136,italian
2137,southern_us
2138,chinese
2139,italian
2140,thai
2141,chinese
2142,mexican
2143,chinese
2144,italian
2145,mexican
2146,filipino
2147,mexican
2148,southern_us
2149,indian
2150,greek
2151,mexican
2152,brazilian
2153,greek
2154,chinese
2155,indian
2156,indian
2157,southern_us
2158,southern_us
2159,southern_us
2160,italian
2161,mexican
2162,greek
2163,southern_us
2164,chinese
2165,southern_us
2166,french
2167,french
2168,irish
2169,moroccan
2170,japanese
2171,british
2172,brazilian
2173,korean
2174,thai
2175,french
2176,mexican
2177,russian
2178,chinese
2179,british
2180,italian
2181,spanish
2182,french
2183,chinese
2184,british
2185,mexican
2186,italian
2187,korean
2188,greek
2189,italian
2190,southern_us
2191,greek
2192,italian
2193,italian
2194,italian
2195,filipino
2196,italian
2197,moroccan
2198,thai
2199,chinese
2200,southern_us
2201,southern_us
2202,italian
2203,southern_us
2204,italian
2205,southern_us
2206,chinese
2207,thai
2208,indian
2209,italian
2210,southern_us
2211,mexican
2212,mexican
2213,chinese
2214,chinese
2215,filipino
2216,italian
2217,italian
2218,chinese
2219,southern_us
2220,filipino
2221,french
2222,chinese
2223,italian
2224,mexican
2225,chinese
2226,southern_us
2227,chinese
2228,mexican
2229,moroccan
2230,british
2231,korean
2232,chinese
2233,southern_us
2234,irish
2235,mexican
2236,thai
2237,mexican
2238,greek
2239,moroccan
2240,french
2241,british
2242,thai
2243,italian
2244,italian
2245,italian
2246,southern_us
2247,italian
2248,filipino
2249,irish
2250,indian
2251,mexican
2252,italian
2253,thai
2254,mexican
2255,jamaican
2256,italian
2257,italian
2258,greek
2259,filipino
2260,chinese
2261,korean
2262,british
2263,french
2264,cajun_creole
2265,italian
2266,greek
2267,indian
2268,italian
2269,mexican
2270,british
2271,italian
2272,italian
2273,filipino
2274,greek
2275,filipino
2276,indian
